description,review_majority,food_aspect_majority,ambiance_aspect_majority,service_aspect_majority,noise_aspect_majority,cleanliness,price,location,menu variety,waiting time,waiting area,parking,wi-fi,kids-friendly
"The food was fantastic; however, the noise level was unbearable. I had to shout so my dinner partner could hear me. We skipped dessert because we couldn't bear another moment of the noise level. Also service was inadequate.",2,Positive,Negative,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The food is cheap and tasty. Definitely not worth waiting for but if you can walk in go for it.,no majority,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was very good, desert not so much.",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was just okay, nothing to rave about, no one in there until we were ready to leave, there were three tables taken at that time, took forever to get the check.",2,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Great atmosphere and wonderful menu!! Lots of fun for a group of friends or a romantic dinner.  It also was not noisy which made it easier to engage in conversation since I didn't have to scream in order to be heard by someone sitting adjacent to me.,5,Positive,Positive,unknown,Positive,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
We celebrated a birthday and had a wonderful time. Waitress put a candle on our dessert. Good was great.,5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"We were sold on a desert by the waitress only to be told they were out of it (at 6:30 PM). Water glasswas never refilled, and no spoon was provided ith the Ciopinno (which was very good).",no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We ordered 3 chicken pot pies and waited for a long time to get them. They were mediocre and way too noisy,3,Negative,unknown,Negative,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"Waiter was not knowedgeable about the selections on the menu. Left there hungary, Price too high for quality and quantity of food. Employees were friendly and courteous, but the ambiance was bad.",2,Negative,Negative,Negative,unknown,unknown,Negative,unknown,unknown,unknown,Negative,unknown,unknown,unknown
Food was mediocre and not very tasty or well made. Had one of the worst and most expensive double espressos in my life. The decor was great though. I could have sat there for hours.,3,Negative,Positive,unknown,unknown,unknown,Negative,unknown,unknown,unknown,Positive,unknown,unknown,unknown
"Weak atmosphere, and I REALLY enjoyed the Dr. Pepper beef ribs, best meal I've had in a long time! Cannot wait to come back to Scottsdale to go to RF again! 5 Stars *****",no majority,Positive,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Took them 10 minutes to serve our meal. We decided to take our lunch to go.,2,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"The service was perfunctory, my pasta dry and uninteresting, and the prices unwarranted given the food.  The crowd was too roudy.",1,Negative,unknown,Negative,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I LOVE THIS RESTAURANT. IT'S BEEN MY FAVORITE EVER SINCE THEY OPENED. ALWAYS CONSISTENT AND THERE'S ALWAYS A CELEBRITY TO SEE!,5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"The appetizers and small dishes are just as good as the entrees. STick to those. Noise is deafening. Probably will not go back, but fewer places in midtown have this pricepoint.",2,Positive,Negative,unknown,Negative,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Before theatre dining very noisy,  salt used to season the food perfectly.",3,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"I ordered my steak frite medium rare, and it was delivered medium well. It had very little flavor, was tough and dry. I've had MUCH better steak at other French restaurants. I was very disappointed in the ambiance as well.",1,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Terrific service make it worthwhile.,4,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I had requested seating outside for 2 and the table was great. Food was amazing and fun.,5,Positive,Positive,Positive,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
The people were nice.,4,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
$11 for crunchy Cantalope? And the staff was so slow.,2,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown
food was great.,4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"A very expensive meal with subpar food. Our food, quite frankly, was really awful. Ambiance was nasty, but the service was good.",no majority,Negative,Negative,Positive,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The menus posted on open table as well as menupages and the restaurant's own website are inaccurate. Everything is 20% more when you see the menu at the restaurant. Very deceptive, in my opinion. Noise level was great.",2,unknown,unknown,unknown,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Disappointing. Went for Mother's Day Brunch. Some of the servings were tepid or cool.,2,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Great location in beautiful hotel.,4,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"Although my friend liked her dish,mine was VERY mediocre.I have no intention of returning.",2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was okay and it's nice and quiet. Extremely bad place to go for lunch, servers are very slow and unattentive!",no majority,no majority,unknown,Negative,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
I have tried this restaurant twice and must say I find the food a bit disappointing and over priced and the service was terrible.,no majority,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Greate experience. Reception by manager was quite welcoming. The food was great as usual and the service just as good. One of the greatest things about Sovana Bistro is consistency.,5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Don't waste your time, nothing special... maybe good for tourists and people who don't know what food food is. At least the decor is good.",no majority,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
good pastas... felt like being in a trattoria in Italy... lots of natural light which is a good thing. only downside is it is very noisy.,4,Positive,Positive,unknown,Negative,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Very unhappy with the service...for the price, the food was not worth it! terrible view and lame ambiance.....too bad...wouldn't go back.",1,Negative,Negative,Negative,unknown,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown
Abby provided the best service that we've had after probably two dozen visits. No thank you for making the risotto cake at lunch....Two Stars!,2,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We had a TERRIBLE experience, other than the peaceful noise level. The food was bland and not worth the money, the salmon and shrimp tasted fishy and cheap, the bread was stale.",no majority,Negative,unknown,unknown,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was great, service was great, a gem on Pearl Street for sure!",5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Great space. Attentive staff. was average at best.,3,unknown,Positive,Positive,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
food was great... with much flavor. Calamari was something to write home about.,4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
No loud talking or noise. Mussels delicious as was the pear salad and tuna caparcio.,4,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"I was surprised that, with a reservation, that sat us directly across from the busing station so we could watch where the waiters/waitresses convened regularly. Food was unsatisfying.",2,Negative,Negative,Negative,Negative,unknown,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown
Food was very good. Considering the restaurant's reputation and the entree prices there should be nothing mediocre. Service was very slow. Will probably not return.,no majority,Positive,unknown,Negative,unknown,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Good location near Ferry Plaza building for lunch and view of Bay Bridge. It also wasn't too loud to enjoy the meal.,4,unknown,unknown,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"Good food, great wine list. Service was too quick especially considering there were six empty tables. I know turn over is king but it deters me from bringing more than just one other person.",4,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Prices were high; tables were crowded together; service was telegraphic.,no majority,unknown,Negative,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The service was great, however the food was not and the noise was too loud. I don't think I will go back there to eat again.",no majority,Negative,unknown,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Went for a birthday brunch for the ambiance, everyone left hungry and unsatisfied.",2,Negative,no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was plain and thus, way over priced for what you get and the place was dirty and over crowded!",no majority,Negative,Negative,unknown,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
